BUILD_CODE,WORK_TYPE,ID,START,END,COST
2.2,SIP Перекрытие 1-го этажа,2987157,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2987160,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2987162,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2987165,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2987168,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2987170,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139765,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139780,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139781,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139790,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139823,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139824,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139825,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139826,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139827,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139828,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139829,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139830,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139831,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139832,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139833,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139834,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139835,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139836,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139845,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139867,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139868,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139869,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139870,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139871,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139872,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139873,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139874,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139875,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139876,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139877,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139878,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139879,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3139880,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174692,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174693,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174712,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174713,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174714,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174715,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174726,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174727,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174776,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174777,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174778,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174779,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174780,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174781,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174782,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174783,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174784,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174785,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174786,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174787,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174788,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174789,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174790,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174791,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174792,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174793,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174794,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174795,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174796,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174797,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174798,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174799,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174800,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174801,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174802,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174803,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174814,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174815,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174846,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174847,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174848,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174849,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174850,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174851,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174852,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174853,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174854,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174855,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174856,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174857,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174858,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174859,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174860,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174861,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174862,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174863,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174864,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174865,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174866,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174867,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174868,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174869,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,3174870,05.07.2025,05.08.2025,100
